0000fuck.you.get.signal.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d012.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d013.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d014.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d015.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d016.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d017.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d020b.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d020.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d021.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d022.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d023.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d025b.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d025.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d025-ip.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d028.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d030.fmaskins.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d034.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d047.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d048.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d049.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d050.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.ar-ar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.gos.sk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.he-il.m.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.lt-lt.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.lt-lt.m.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.myteddycasino.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.ohmagazine.com.auwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
da-dk.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
darkmoon.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
data.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
db1.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
db2.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
db4prdstr08b.stream.rec-vi-vn-keys.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
db.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
db.web2.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dc7d.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dc.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dd.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de-de.ar-ar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de-de.fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de-de.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de-de.gos.sk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de-de.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de-de.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de-de.myteddycasino.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de-de.sokayka.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
deep1.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
demo.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
demo.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
de.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
design.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
destruction.www.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
detenganlavacuna.me.g.co.4g.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dev1.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dev2.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dev.booksync.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
devel.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
developers.cdn.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
developers.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
development.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dev.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dev.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dewaporn.com-br.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
d.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
digilander.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
direct.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
directory.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
distance-ed.fmb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
distances.auwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dl.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
_dmarc.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
_dmarc.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dnm.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dnm.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dns1.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dns1.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dns2.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dns2.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dns3.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dns4.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dns.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dns.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
do33.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
doc.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
docker.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
docker.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
docs.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
domain.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
domains.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
download.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
download.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
drupal.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dyn.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
dyn.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
edge-mask.myteddycasino.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
e.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
elastic.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
elastic.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
elearning.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.ar-ar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.bs-ba.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.el-gr.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.en-gb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.gos.sk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.id-id.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.lanlabuy.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.lt-lt.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.myteddycasino.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.pt-br.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.sokayka.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
el-gr.www.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
email.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
email.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
emeaeu-es.bgtrainingadm.fi-fialpha.xn--n-ugagh.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
en.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
en-gb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
en-gb.he-il.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
en-gb.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
eng.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
english.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
en.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
en-pi.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
en-ud.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
eqcoivd.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
erp.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
error.bs-ba.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
error.fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
error.he-il.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
error.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
error.id-id.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
error.lt-lt.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
error.pchelplinebd.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
error.sokayka.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
error.vi-vn.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-co.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-es.el-gr.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-es.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-es.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-es.lanlabuy.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-es.lt-lt.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-es.lt-lt.m.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-es.pchelplinebd.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-es.pt-br.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-es.www.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-la.da-dk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-la.el-gr.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-la.en-gb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-la.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-la.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-la.m.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-la.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-la.myteddycasino.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
es-la.vi-vn.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
et-ee.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
eu-es.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
eu-es.he-il.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
eu-es.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
eu-es.id-id.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
event.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
exchange.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
exchange.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
extranet.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
facebook.com.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
facebookon.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
facon.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fairytail-german.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fama.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
faq.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fbcdn.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fbcdn.net.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fbma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fb.me.g.co.4g.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
feedback.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
feeds.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
f.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ff.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.ar-ar.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.da-dk.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.el-gr.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.en-ud.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.he-il.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.ohmagazine.com.auwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.pchelplinebd.comwww.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fi-fi.pt-br.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
file.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
files.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
finance.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
firewall.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fkgzl57oy8eib93mx42jhw1sncvpqdar0u6t.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fmb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
forms.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
forum.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
forum.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
forums.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
foto.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-ca.bs-ba.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-ca.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-ca.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-ca.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-ca.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-ca.myteddycasino.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-ca.pchelplinebd.comwww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
free.basic.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
free.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.an.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.bs-ba.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.da-dk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.el-gr.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.fa-ir.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.fi-fi.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.he-il.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.mobile.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.nl-nl.id-id.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.saatchi.dewww.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fr-fr.zh-tw.www.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fs.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ftp1.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ftp2.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ftp.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ftp.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fupfup.fma.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fw.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
fw.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
g2aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
g4aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
g5aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gallery.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
game.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
games.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gate.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gateway.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gbaph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gdaph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
getavirus.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
g.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
ghmoupbqw8e5zla04skyctrj317f6xdn9v2i.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gis.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
git.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gitlab.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gitlab.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
git.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gl-es.bs-ba.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
globalvoices.orgon.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gmail.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
go.fb.me AS14618 AS14618 - AMAZON.COM, INC. US 54.80.0.0/14
google.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
googlenewtab.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
go.on.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gos.sk.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gr1aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gr1ph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gr2aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gr2ph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gr4aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gr5aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gra0h.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gra0ph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gra1ph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gra2ph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
graaph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
grah.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gralh.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gramh.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
graoh.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
grap0h.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
grapb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
grapbh.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
grapg.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
grapgh.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
graph2.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
graphb.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gr-aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gr.aph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gra-ph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
gra.ph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
grap-h.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
grap.h.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
graph.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
graphg.fb.me AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
